Not Tested Absent Other,SANTA00T017R SANAA00T017R SANOA00T017R,"DANTA00T017R DANAA00T017R DANOA00T017R
:unselected:
:unselected:
:unselected:","CANTA00T017R CANAA00T017R CANOA00T017R
:unselected:
:unselected:
:unselected:",CBNTA00T017R CBNAA00T017R CBNOA00T017R,CHNTA00T017R CHNAA00T017R CHNOA00T017R,CWNTA00T017R CWNAA00T017R CWNOA00T017R,CINTA00T017R CINAA00T017R CINOA00T017R,C3NTA00T017R C3NAA00T017R C3NOA00T017R,C4NTA00T017R C4NAA00T017R C4NOA00T017R,C2NTA00T017R C2NAA00T017R C2NOA00T017R,CSNTA00T017R CSNAA00T017R CSNOA00T017R,CENTA00T017R CENAA00T017R CENOA00T017R,CLNTA00T017R CLNAA00T017R CLNOA00T017R,,,
2016 STAAR Participation (All Grades),,,,,,,,,,,,,,,,
All Tests,,,,,,,,,,,,,,,,
Test Participant,SA00A00T016R,"DA00A00T016R
:unselected:","CA00A00T016R
:unselected:",CB00A00T016R,CH00A00T016R,CW00A00T016R,CI00A00T016R,C300A00T016R,C400A00T016R,C200A00T016R,CS00A00T016R,CE00A00T016R,CL00A00T016R,,,
Included in Accountability,SAYAA00T016R,"DAYAA00T016R
:unselected:","CAYAA00T016R
:unselected:",CBYAA00T016R,CHYAA00T016R,CWYAA00T016R,CIYAA00T016R,C3YAA00T016R,C4YAA00T016R,C2YAA00T016R,CSYAA00T016R,CEYAA00T016R,CLYAA00T016R,,,
Not Included in Accountability Mobile Other Exclusions,SAYMA00T016R SAYXA00T016R,"DAYMA00T016R DAYXA00T016R
:unselected:
:unselected:","CAYMA00T016R CAYXA00T016R
:unselected:
:unselected:",CBYMA00T016R CBYXA00T016R,CHYMA00T016R CHYXA00T016R,CWYMA00T016R CWYXA00T016R,CIYMA00T016R CIYXA00T016R,C3YMA00T016R C3YXA00T016R,C4YMA00T016R C4YXA00T016R,C2YMA00T016R C2YXA00T016R,CSYMA00T016R CSYXA00T016R,CEYMA00T016R CEYXA00T016R,CLYMA00T016R CLYXA00T016R,,,
Not Tested,"SANTA00T016R
:unselected:","DANTA00T016R
:unselected:","CANTA00T016R
:unselected:",CBNTA00T016R,CHNTA00T016R,CWNTA00T016R,CINTA00T016R,C3NTA00T016R,C4NTA00T016R,C2NTA00T016R,CSNTA00T016R,CENTA00T016R,CLNTA00T016R,,,
Absent,SANAA00T016R,"DANAA00T016R
:unselected:","CANAA00T016R
:unselected:","CBNAA00T016R
:unselected:",CHNAA00T016R,CWNAA00T016R,CINAA00T016R,C3NAA00T016R,C4NAA00T016R,C2NAA00T016R,CSNAA00T016R,CENAA00T016R,CLNAA00T016R,,,
Other,SANOA00T016R,DANOA00T016R,"CANOA00T016R
:unselected:",CBNOA00T016R,CHNOA00T016R,CWNOA00T016R,CINOA00T016R,C3NOA00T016R,C4NOA00T016R,C2NOA00T016R,CSNOA00T016R,CENOA00T016R,CLNOA00T016R,,,
,,,,,,,,,,,,,,,,
,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,,
Attendance Rate,,,,,,,,,,,,,,,,
2015-16,SA0AT16R,DA0AT16R,CA0AT16R,CB0AT16R,CH0AT16R,CW0AT16R,CI0AT16R,C30AT16R,C40AT16R,C20AT16R,CS0AT16R,CE0AT16R,CL0AT16R,,,
2014-15,SA0AT15R,DA0AT15R,CA0AT15R,CB0AT15R,CH0AT15R,CW0AT15R,CI0AT15R,C30AT15R,C40AT15R,C20AT15R,CS0AT15R,CE0AT15R,CL0AT15R,,,
Annual Dropout Rate (Gr 7-8),,,,,,,,,,,,,,,,
2015-16,SA0708DR16R,DA0708DR16R,CA0708DR16R,CB0708DR16R,CH0708DR16R,CW0708DR16R,CI0708DR16R,C30708DR16R,C40708DR16R,C20708DR16R,CS0708DR16R,CE0708DR16R,CL0708DR16R,,,
2014-15,SA0708DR15R,DA0708DR15R,CA0708DR15R,CB0708DR15R,CH0708DR15R,CW0708DR15R,CI0708DR15R,C30708DR15R,C40708DR15R,C20708DR15R,CS0708DR15R,CE0708DR15R,CL0708DR15R,,,
Annual Dropout Rate (Gr 9-12),,,,,,,,,,,,,,,,
2015-16 2014-15,SA0912DR16R SA0912DR15R,"DA0912DR16R
DA0912DR15R","CA0912DR16R
CA0912DR15R","CB0912DR16R
CB0912DR15R","CH0912DR16R
CH0912DR15R","CW0912DR16R
CW0912DR15R","CI0912DR16R
CI0912DR15R",C30912DR16R C30912DR15R,C40912DR16R C40912DR15R,"C20912DR16R
C20912DR15R","CS0912DR16R
CS0912DR15R","CE0912DR16R
CE0912DR15R","CL0912DR16R
CL0912DR15R",,,
4-Year Longitudinal Rate (Gr 9-12),,,,,,,,,,,,,,,,
Class of 2016,,,,,,,,,,,,,,,,
Graduated,SAGC416R,DAGC4X16R,CAGC4X16R,CBGC4X16R,CHGC4X16R,CWGC4X16R,CIGC4X16R,C3GC4X16R,C4GC4X16R,C2GC4X16R,CSGC4X16R,CEGC4X16R,CLGC4X16R,,,
Received GED,SAEC416R,DAEC4X16R,CAEC4X16R,CBEC4X16R,CHEC4X16R,CWEC4X16R,CIEC4X16R,C3EC4X16R,C4EC4X16R,C2EC4X16R,CSEC4X16R,CEEC4X16R,CLEC4X16R,,,
Continued HS,SANC416R,DANC4X16R,CANC4X16R,CBNC4X16R,CHNC4X16R,CWNC4X16R,CINC4X16R,C3NC4X16R,C4NC4X16R,C2NC4X16R,CSNC4X16R,CENC4X16R,CLNC4X16R,,,
Dropped Out,SADC416R,DADC4X16R,CADC4X16R,CBDC4X16R,CHDC4X16R,CWDC4X16R,CIDC4X16R,C3DC4X16R,C4DC4X16R,C2DC4X16R,CSDC4X16R,CEDC4X16R,CLDC4X16R,,,
Graduates and GED,SA3C416R,DA3C4X16R,CA3C4X16R,CB3C4X16R,CH3C4X16R,CW3C4X16R,CI3C4X16R,C33C4X16R,C43C4X16R,C23C4X16R,CS3C4X16R,CE3C4X16R,CL3C4X16R,,,
"Grads, GED, & Cont",SA2C416R,DA2C4X16R,CA2C4X16R,CB2C4X16R,CH2C4X16R,CW2C4X16R,CI2C4X16R,C32C4X16R,C42C4X16R,C22C4X16R,CS2C4X16R,CE2C4X16R,CL2C4X16R,,,
Class of 2015,,,,,,,,,,,,,,,,
Graduated,SAGC415R,DAGC4X15R,CAGC4X15R,CBGC4X15R,CHGC4X15R,CWGC4X15R,CIGC4X15R,C3GC4X15R,C4GC4X15R,C2GC4X15R,CSGC4X15R,CEGC4X15R,CLGC4X15R,,,
Received GED,SAEC415R,DAEC4X15R,CAEC4X15R,CBEC4X15R,CHEC4X15R,CWEC4X15R,CIEC4X15R,C3EC4X15R,C4EC4X15R,C2EC4X15R,CSEC4X15R,CEEC4X15R,CLEC4X15R,,,
Continued HS,SANC415R,DANC4X15R,CANC4X15R,CBNC4X15R,CHNC4X15R,CWNC4X15R,CINC4X15R,C3NC4X15R,C4NC4X15R,C2NC4X15R,CSNC4X15R,CENC4X15R,CLNC4X15R,,,
Dropped Out,SADC415R,DADC4X15R,CADC4X15R,CBDC4X15R,CHDC4X15R,CWDC4X15R,CIDC4X15R,C3DC4X15R,C4DC4X15R,C2DC4X15R,CSDC4X15R,CEDC4X15R,CLDC4X15R,,,
Graduates and GED,SA3C415R,DA3C4X15R,CA3C4X15R,CB3C4X15R,CH3C4X15R,CW3C4X15R,CI3C4X15R,C33C4X15R,C43C4X15R,C23C4X15R,CS3C4X15R,CE3C4X15R,CL3C4X15R,,,
"Grads, GED, & Cont",SA2C415R,DA2C4X15R,CA2C4X15R,CB2C4X15R,CH2C4X15R,CW2C4X15R,CI2C4X15R,C32C4X15R,C42C4X15R,C22C4X15R,CS2C4X15R,CE2C4X15R,CL2C4X15R,,,
5-Year Extended Longitudinal Rate (Gr 9-12),,,,,,,,,,,,,,,,
Class of 2015,,,,,,,,,,,,,,,,
Graduated,SAGC515R,DAGC5X15R,CAGC5X15R,CBGC5X15R,CHGC5X15R,CWGC5X15R,CIGC5X15R,C3GC5X15R,C4GC5X15R,C2GC5X15R,CSGC5X15R,CEGC5X15R,CLGC5X15R,,,
Received GED,SAEC515R,DAEC5X15R,CAEC5X15R,CBEC5X15R,CHEC5X15R,CWEC5X15R,CIEC5X15R,C3EC5X15R,C4EC5X15R,C2EC5X15R,CSEC5X15R,CEEC5X15R,CLEC5X15R,,,
Continued HS,SANC515R,DANC5X15R,CANC5X15R,CBNC5X15R,CHNC5X15R,CWNC5X15R,CINC5X15R,C3NC5X15R,C4NC5X15R,C2NC5X15R,CSNC5X15R,CENC5X15R,CLNC5X15R,,,
Dropped Out,SADC515R,DADC5X15R,CADC5X15R,CBDC5X15R,CHDC5X15R,CWDC5X15R,CIDC5X15R,C3DC5X15R,C4DC5X15R,C2DC5X15R,CSDC5X15R,CEDC5X15R,CLDC5X15R,,,
Graduates and GED,SA3C515R,DA3C5X15R,CA3C5X15R,CB3C5X15R,CH3C5X15R,CW3C5X15R,CI3C5X15R,C33C5X15R,C43C5X15R,C23C5X15R,CS3C5X15R,CE3C5X15R,CL3C5X15R,,,
"Grads, GED, & Cont",SA2C515R,DA2C5X15R,CA2C5X15R,CB2C5X15R,CH2C5X15R,CW2C5X15R,CI2C5X15R,C32C5X15R,C42C5X15R,C22C5X15R,CS2C5X15R,CE2C5X15R,CL2C5X15R,,,
Class of 2014,,,,,,,,,,,,,,,,
Graduated,SAGC514R,DAGC5X14R,CAGC5X14R,CBGC5X14R,CHGC5X14R,CWGC5X14R,CIGC5X14R,C3GC5X14R,C4GC5X14R,C2GC5X14R,CSGC5X14R,CEGC5X14R,CLGC5X14R,,,
Received GED,SAEC514R,DAEC5X14R,CAEC5X14R,CBEC5X14R,CHEC5X14R,CWEC5X14R,CIEC5X14R,C3EC5X14R,C4EC5X14R,C2EC5X14R,CSEC5X14R,CEEC5X14R,CLEC5X14R,,,
Continued HS,SANC514R,DANC5X14R,CANC5X14R,CBNC5X14R,CHNC5X14R,CWNC5X14R,CINC5X14R,C3NC5X14R,C4NC5X14R,C2NC5X14R,CSNC5X14R,CENC5X14R,CLNC5X14R,,,
Dropped Out,SADC514R,DADC5X14R,CADC5X14R,CBDC5X14R,CHDC5X14R,CWDC5X14R,CIDC5X14R,C3DC5X14R,C4DC5X14R,C2DC5X14R,CSDC5X14R,CEDC5X14R,CLDC5X14R,,,
Graduates and GED,SA3C514R,DA3C5X14R,CA3C5X14R,CB3C5X14R,CH3C5X14R,CW3C5X14R,CI3C5X14R,C33C5X14R,C43C5X14R,C23C5X14R,CS3C5X14R,CE3C5X14R,CL3C5X14R,,,
"Grads, GED, & Cont",SA2C514R,DA2C5X14R,CA2C5X14R,CB2C5X14R,CH2C5X14R,CW2C5X14R,CI2C5X14R,C32C5X14R,C42C5X14R,C22C5X14R,CS2C5X14R,CE2C5X14R,CL2C5X14R,,,
,,,,,,,,,,,,,,,,
,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,,
6-Year Extended Longitudinal Rate (Gr 9-12),,,,,,,,,,,,,,,,
Class of 2014,,,,,,,,,,,,,,,,
Graduated,SAGC614R,"DAGC6X14R
:unselected:",CAGC6X14R,CBGC6X14R,CHGC6X14R,CWGC6X14R,CIGC6X14R,C3GC6X14R,C4GC6X14R,C2GC6X14R,CSGC6X14R,CEGC6X14R,CLGC6X14R,,,
Received GED,SAEC614R,"DAEC6X14R
:unselected:",CAEC6X14R,CBEC6X14R,CHEC6X14R,CWEC6X14R,CIEC6X14R,C3EC6X14R,C4EC6X14R,C2EC6X14R,CSEC6X14R,CEEC6X14R,CLEC6X14R,,,
Continued HS,SANC614R,"DANC6X14R
:unselected:",CANC6X14R,CBNC6X14R,CHNC6X14R,CWNC6X14R,CINC6X14R,C3NC6X14R,C4NC6X14R,C2NC6X14R,CSNC6X14R,CENC6X14R,CLNC6X14R,,,
Dropped Out,SADC614R,"DADC6X14R
:unselected:",CADC6X14R,CBDC6X14R,CHDC6X14R,CWDC6X14R,CIDC6X14R,C3DC6X14R,C4DC6X14R,C2DC6X14R,CSDC6X14R,CEDC6X14R,CLDC6X14R,,,
Graduates and GED,SA3C614R,"DA3C6X14R
:unselected:",CA3C6X14R,CB3C6X14R,CH3C6X14R,CW3C6X14R,CI3C6X14R,C33C6X14R,C43C6X14R,C23C6X14R,CS3C6X14R,CE3C6X14R,CL3C6X14R,,,
"Grads, GED, & Cont",SA2C614R,"DA2C6X14R
:unselected:",CA2C6X14R,CB2C6X14R,CH2C6X14R,CW2C6X14R,CI2C6X14R,C32C6X14R,C42C6X14R,C22C6X14R,CS2C6X14R,CE2C6X14R,CL2C6X14R,,,
Class of 2013,,,,,,,,,,,,,,,,
Graduated,SAGC613R,"DAGC6X13R
:unselected:",CAGC6X13R,CBGC6X13R,CHGC6X13R,CWGC6X13R,CIGC6X13R,C3GC6X13R,C4GC6X13R,C2GC6X13R,CSGC6X13R,CEGC6X13R,CLGC6X13R,,,
Received GED,SAEC613R,"DAEC6X13R
:unselected:",CAEC6X13R,CBEC6X13R,CHEC6X13R,CWEC6X13R,CIEC6X13R,C3EC6X13R,C4EC6X13R,C2EC6X13R,CSEC6X13R,CEEC6X13R,CLEC6X13R,,,
Continued HS,SANC613R,"DANC6X13R
:unselected:",CANC6X13R,CBNC6X13R,CHNC6X13R,CWNC6X13R,CINC6X13R,C3NC6X13R,C4NC6X13R,C2NC6X13R,CSNC6X13R,CENC6X13R,CLNC6X13R,,,
Dropped Out,SADC613R,DADC6X13R,CADC6X13R,CBDC6X13R,CHDC6X13R,CWDC6X13R,CIDC6X13R,C3DC6X13R,C4DC6X13R,C2DC6X13R,CSDC6X13R,CEDC6X13R,CLDC6X13R,,,
Graduates and GED,SA3C613R,DA3C6X13R,CA3C6X13R,CB3C6X13R,CH3C6X13R,CW3C6X13R,CI3C6X13R,C33C6X13R,C43C6X13R,C23C6X13R,CS3C6X13R,CE3C6X13R,CL3C6X13R,,,
"Grads, GED, & Cont",SA2C613R,DA2C6X13R,CA2C6X13R,CB2C6X13R,CH2C6X13R,CW2C6X13R,CI2C6X13R,C32C6X13R,C42C6X13R,C22C6X13R,CS2C6X13R,CE2C6X13R,CL2C6X13R,,,
4-Year Federal Graduation Rate Without Exclusions (Gr 9-12),,,,,,,,,,,,,,,,
Class of 2016,SAGC416R,DAGC416R,CAGC416R,CBGC416R,CHGC416R,CWGC416R,CIGC416R,C3GC416R,C4GC416R,C2GC416R,CSGC416R,CEGC416R,CLGC416R,,,
Class of 2015,SAGC415R,DAGC415R,CAGC415R,CBGC415R,CHGC415R,CWGC415R,CIGC415R,C3GC415R,C4GC415R,C2GC415R,CSGC415R,CEGC415R,CLGC415R,,,
5-Year Extended Federal Graduation Rate Without Exclusions (Gr 9-12),,,,,,,,,,,,,,,,
Class of 2015,SAGC515R,DAGC515R,CAGC515R,CBGC515R,CHGC515R,CWGC515R,CIGC515R,C3GC515R,C4GC515R,C2GC515R,CSGC515R,CEGC515R,CLGC515R,,,
Class of 2014,SAGC514R,DAGC514R,CAGC514R,CBGC514R,CHGC514R,CWGC514R,CIGC514R,C3GC514R,C4GC514R,C2GC514R,CSGC514R,CEGC514R,CLGC514R,,,
6-Year Extended Federal Graduation Rate Without Exclusions (Gr 9-12),,,,,,,,,,,,,,,,
Class of 2014,SAGC614R,DAGC614R,CAGC614R,CBGC614R,CHGC614R,CWGC614R,CIGC614R,C3GC614R,C4GC614R,C2GC614R,CSGC614R,CEGC614R,CLGC614R,,,
Class of 2013,SAGC613R,DAGC613R,CAGC613R,CBGC613R,CHGC613R,CWGC613R,CIGC613R,C3GC613R,C4GC613R,C2GC613R,CSGC613R,CEGC613R,CLGC613R,,,
RHSP/DAP Graduates (Longitudinal Rate),,,,,,,,,,,,,,,,
Class of 2016,SARC416R,DARC4X16R,CARC4X16R,CBRC4X16R,CHRC4X16R,CWRC4X16R,CIRC4X16R,C3RC4X16R,C4RC4X16R,C2RC4X16R,CSRC4X16R,CERC4X16R,CLRC4X16R,,,
Class of 2015,SARC415R,DARC4X15R,CARC4X15R,CBRC4X15R,CHRC4X15R,CWRC4X15R,CIRC4X15R,C3RC4X15R,C4RC4X15R,C2RC4X15R,CSRC4X15R,CERC4X15R,CLRC4X15R,,,
FHSP-E Graduates (Longitudinal Rate),,,,,,,,,,,,,,,,
Class of 2016,SAPC416R,DAPC4X16R,CAPC4X16R,CBPC4X16R,CHPC4X16R,CWPC4X16R,CIPC4X16R,C3PC4X16R,C4PC4X16R,C2PC4X16R,CSPC4X16R,CEPC4X16R,CLPC4X16R,,,
Class of 2015,SAPC415R,DAPC4X15R,CAPC4X15R,CBPC4X15R,CHPC4X15R,CWPC4X15R,CIPC4X15R,C3PC4X15R,C4PC4X15R,C2PC4X15R,CSPC4X15R,CEPC4X15R,CLPC4X15R,,,
FHSP-DLA Graduates (Longitudinal Rate),,,,,,,,,,,,,,,,
Class of 2016,SAAC416R,DAAC4X16R,CAAC4X16R,CBAC4X16R,CHAC4X16R,CWAC4X16R,CIAC4X16R,C3AC4X16R,C4AC4X16R,C2AC4X16R,CSAC4X16R,CEAC4X16R,CLAC4X16R,,,
Class of 2015,SAAC415R,DAAC4X15R,CAAC4X15R,CBAC4X15R,CHAC4X15R,CWAC4X15R,CIAC4X15R,C3AC4X15R,C4AC4X15R,C2AC4X15R,CSAC4X15R,CEAC4X15R,CLAC4X15R,,,
RHSP/DAP/FHSP-E/FHSP-DLA Graduates (Longitudinal Rate),,,,,,,,,,,,,,,,
Class of 2016,SASC416R,DASC4X16R,CASC4X16R,CBSC4X16R,CHSC4X16R,CWSC4X16R,CISC4X16R,C3SC4X16R,C4SC4X16R,C2SC4X16R,CSSC4X16R,CESC4X16R,CLSC4X16R,,,
Class of 2015,SASC415R,DASC4X15R,CASC4X15R,CBSC4X15R,CHSC4X15R,CWSC4X15R,CISC4X15R,C3SC4X15R,C4SC4X15R,C2SC4X15R,CSSC4X15R,CESC4X15R,CLSC4X15R,,,
RHSP/DAP Graduates (Annual Rate),,,,,,,,,,,,,,,,
2015-16,SA0GH16R,DA0GH16R,CA0GH16R,CB0GH16R,CH0GH16R,CW0GH16R,CI0GH16R,C30GH16R,C40GH16R,C20GH16R,CS0GH16R,CE0GH16R,CL0GH16R,,,
2014-15,SA0GH15R,DA0GH15R,CA0GH15R,CB0GH15R,CH0GH15R,CW0GH15R,CI0GH15R,C30GH15R,C40GH15R,C20GH15R,CS0GH15R,CE0GH15R,CL0GH15R,,,
,,,,,,,,,,,,,,,,
,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,,
FHSP-E Graduates (Annual Rate),,,,,,,,,,,,,,,,
2015-16,SA0GE16R,DA0GE16R,CA0GE16R,CB0GE16R,CH0GE16R,CW0GE16R,CI0GE16R,C30GE16R,C40GE16R,C20GE16R,CS0GE16R,CE0GE16R,CL0GE16R,,,
2014-15,SA0GE15R,"DA0GE15R
:unselected:",CA0GE15R,CB0GE15R,CH0GE15R,CW0GE15R,CI0GE15R,C30GE15R,C40GE15R,C20GE15R,CS0GE15R,CE0GE15R,CL0GE15R,,,
FHSP-DLA Graduates (Annual Rate),,,,,,,,,,,,,,,,
2015-16,SA0GA16R,DA0GA16R,CA0GA16R,CB0GA16R,CH0GA16R,CW0GA16R,CI0GA16R,C30GA16R,C40GA16R,C20GA16R,CS0GA16R,CE0GA16R,CL0GA16R,,,
2014-15,SA0GA15R,DA0GA15R,CA0GA15R,CB0GA15R,CH0GA15R,CW0GA15R,CI0GA15R,C30GA15R,C40GA15R,C20GA15R,CS0GA15R,CE0GA15R,CL0GA15R,,,
RHSP/DAP/FHSP-E/FHSP-DLA Graduates (Annual Rate),,,,,,,,,,,,,,,,
2015-16,SA0GS16R,DA0GS16R,CA0GS16R,CB0GS16R,CH0GS16R,CW0GS16R,CI0GS16R,C30GS16R,C40GS16R,C20GS16R,CS0GS16R,CE0GS16R,CL0GS16R,,,
2014-15,SA0GS15R,DA0GS15R,CA0GS15R,CB0GS15R,CH0GS15R,CW0GS15R,CI0GS15R,C30GS15R,C40GS15R,C20GS15R,CS0GS15R,CE0GS15R,CL0GS15R,,,
Advanced Course/Dual-Credit Course Completion (Grades 11-12),,,,,,,,,,,,,,,,
Any Subject 2015-16,SA0AD16R,DA0AD16R,CA0AD16R,CB0AD16R,CH0AD16R,CW0AD16R,CI0AD16R,C30AD16R,C40AD16R,C20AD16R,CS0AD16R,CE0AD16R,CL0AD16R,,,
2014-15,SA0AD15R,DA0AD15R,CA0AD15R,CB0AD15R,CH0AD15R,CW0AD15R,CI0AD15R,C30AD15R,C40AD15R,C20AD15R,CS0AD15R,CE0AD15R,CL0AD15R,,,
English Language Arts,,,,,,,,,,,,,,,,
2015-16,SA0ADE16R,DA0ADE16R,CA0ADE16R,CB0ADE16R,CH0ADE16R,CW0ADE16R,CI0ADE16R,C30ADE16R,C40ADE16R,C20ADE16R,CS0ADE16R,CE0ADE16R,CL0ADE16R,,,
2014-15,SA0ADE15R,DA0ADE15R,CA0ADE15R,CB0ADE15R,CH0ADE15R,CW0ADE15R,CI0ADE15R,C30ADE15R,C40ADE15R,C20ADE15R,CS0ADE15R,CE0ADE15R,CL0ADE15R,,,
Mathematics 2015-16,SA0ADM16R,DA0ADM16R,CA0ADM16R,CB0ADM16R,CH0ADM16R,CW0ADM16R,CI0ADM16R,C30ADM16R,C40ADM16R,C20ADM16R,CS0ADM16R,CE0ADM16R,CL0ADM16R,,,
2014-15,SA0ADM15R,DA0ADM15R,CA0ADM15R,CB0ADM15R,CH0ADM15R,CW0ADM15R,CI0ADM15R,C30ADM15R,C40ADM15R,C20ADM15R,CS0ADM15R,CE0ADM15R,CL0ADM15R,,,
Science 2015-16 2014-15,SA0ADC16R SA0ADC15R,DA0ADC16R DA0ADC15R,CA0ADC16R CA0ADC15R,CB0ADC16R CB0ADC15R,CH0ADC16R CH0ADC15R,CW0ADC16R CW0ADC15R,CI0ADC16R CI0ADC15R,C30ADC16R C30ADC15R,C40ADC16R C40ADC15R,C20ADC16R C20ADC15R,CS0ADC16R CS0ADC15R,CE0ADC16R CE0ADC15R,CL0ADC16R CL0ADC15R,,,
Social Studies 2015-16,SA0ADS16R,DA0ADS16R,CA0ADS16R,CB0ADS16R,CH0ADS16R,CW0ADS16R,CI0ADS16R,C30ADS16R,C40ADS16R,C20ADS16R,CS0ADS16R,CE0ADS16R,CL0ADS16R,,,
2014-15,SA0ADS15R,DA0ADS15R,CA0ADS15R,CB0ADS15R,CH0ADS15R,CW0ADS15R,CI0ADS15R,C30ADS15R,C40ADS15R,C20ADS15R,CS0ADS15R,CE0ADS15R,CL0ADS15R,,,
Advanced Course/Dual-Credit Course Completion (Grades 9-12),,,,,,,,,,,,,,,,
Any Subject,,,,,,,,,,,,,,,,
2015-16,SA9AD16R,DA9AD16R,CA9AD16R,CB9AD16R,CH9AD16R,CW9AD16R,CI9AD16R,C39AD16R,C49AD16R,C29AD16R,CS9AD16R,CE9AD16R,CL9AD16R,,,
2014-15,SA9AD15R,DA9AD15R,CA9AD15R,CB9AD15R,CH9AD15R,CW9AD15R,CI9AD15R,C39AD15R,C49AD15R,C29AD15R,CS9AD15R,CE9AD15R,CL9AD15R,,,
English Language Arts 2015-16,SA9ADE16R,DA9ADE16R,CA9ADE16R,CB9ADE16R,CH9ADE16R,CW9ADE16R,CI9ADE16R,C39ADE16R,C49ADE16R,C29ADE16R,CS9ADE16R,CE9ADE16R,CL9ADE16R,,,
2014-15,SA9ADE15R,DA9ADE15R,CA9ADE15R,CB9ADE15R,CH9ADE15R,CW9ADE15R,CI9ADE15R,C39ADE15R,C49ADE15R,C29ADE15R,CS9ADE15R,CE9ADE15R,CL9ADE15R,,,
Mathematics 2015-16,SA9ADM16R,DA9ADM16R,CA9ADM16R,CB9ADM16R,CH9ADM16R,CW9ADM16R,CI9ADM16R,C39ADM16R,C49ADM16R,C29ADM16R,CS9ADM16R,CE9ADM16R,CL9ADM16R,,,
2014-15,SA9ADM15R,DA9ADM15R,CA9ADM15R,CB9ADM15R,CH9ADM15R,CW9ADM15R,CI9ADM15R,C39ADM15R,C49ADM15R,C29ADM15R,CS9ADM15R,CE9ADM15R,CL9ADM15R,,,
Science,,,,,,,,,,,,,,,,
2015-16,SA9ADC16R,DA9ADC16R,CA9ADC16R,CB9ADC16R,CH9ADC16R,CW9ADC16R,CI9ADC16R,C39ADC16R,C49ADC16R,C29ADC16R,CS9ADC16R,CE9ADC16R,CL9ADC16R,,,
2014-15,SA9ADC15R,DA9ADC15R,CA9ADC15R,CB9ADC15R,CH9ADC15R,CW9ADC15R,CI9ADC15R,C39ADC15R,C49ADC15R,C29ADC15R,CS9ADC15R,CE9ADC15R,CL9ADC15R,,,
Social Studies 2015-16,SA9ADS16R,DA9ADS16R,CA9ADS16R,CB9ADS16R,CH9ADS16R,CW9ADS16R,CI9ADS16R,C39ADS16R,C49ADS16R,C29ADS16R,CS9ADS16R,CE9ADS16R,CL9ADS16R,,,
2014-15,SA9ADS15R,DA9ADS15R,CA9ADS15R,CB9ADS15R,CH9ADS15R,CW9ADS15R,CI9ADS15R,C39ADS15R,C49ADS15R,C29ADS15R,CS9ADS15R,CE9ADS15R,CL9ADS15R,,,
,,,,,,,,,,,,,,,,
,State,District,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,,
College-Ready Graduates English Language Arts,,,,,,,,,,,,,,,,
2015-16,SACRR16R,DACRR16R,CACRR16R,CBCRR16R,CHCRR16R,CWCRR16R,CICRR16R,C3CRR16R,C4CRR16R,C2CRR16R,CSCRR16R,CECRR16R,CLCRR16R,,,
2014-15,SACRR15R,DACRR15R,CACRR15R,CBCRR15R,CHCRR15R,CWCRR15R,CICRR15R,C3CRR15R,C4CRR15R,C2CRR15R,CSCRR15R,CECRR15R,CLCRR15R,,,
Mathematics 2015-16,SACRM16R,DACRM16R,CACRM16R,CBCRM16R,CHCRM16R,CWCRM16R,CICRM16R,C3CRM16R,C4CRM16R,C2CRM16R,CSCRM16R,CECRM16R,CLCRM16R,,,
2014-15,SACRM15R,DACRM15R,CACRM15R,CBCRM15R,CHCRM15R,CWCRM15R,CICRM15R,C3CRM15R,C4CRM15R,C2CRM15R,CSCRM15R,CECRM15R,CLCRM15R,,,
Both Subjects 2015-16,SACRB16R,DACRB16R,CACRB16R,CBCRB16R,CHCRB16R,CWCRB16R,CICRB16R,C3CRB16R,C4CRB16R,C2CRB16R,CSCRB16R,CECRB16R,CLCRB16R,,,
2014-15,SACRB15R,"DACRB15R
:unselected:",CACRB15R,CBCRB15R,CHCRB15R,CWCRB15R,CICRB15R,C3CRB15R,C4CRB15R,C2CRB15R,CSCRB15R,CECRB15R,CLCRB15R,,,
Either Subject 2015-16,SACRE16R,"DACRE16R
:unselected:",CACRE16R,CBCRE16R,CHCRE16R,CWCRE16R,CICRE16R,C3CRE16R,C4CRE16R,C2CRE16R,CSCRE16R,CECRE16R,CLCRE16R,,,
2014-15,SACRE15R,"DACRE15R
:unselected:",CACRE15R,CBCRE15R,CHCRE15R,CWCRE15R,CICRE15R,C3CRE15R,C4CRE15R,C2CRE15R,CSCRE15R,CECRE15R,CLCRE15R,,,
College and Career Ready Graduates,,,,,,,,,,,,,,,,
